date,tiker,close
2021-03-25,6020,28.65
2021-03-28,6020,28.7
2021-03-29,6020,28.6
2021-03-30,6020,28.4
2021-03-31,6020,27.95
2021-04-01,6020,28.55
2021-04-04,6020,29.5
2021-04-05,6020,29.05
2021-04-06,6020,29.2
2021-04-07,6020,29.75
2021-04-08,6020,29.2
2021-04-11,6020,29.0
2021-04-12,6020,29.15
2021-04-13,6020,28.85
2021-04-14,6020,29.0
2021-04-15,6020,28.9
2021-04-18,6020,28.95
2021-04-19,6020,28.9
2021-04-20,6020,29.05
2021-04-21,6020,28.75
2021-04-22,6020,28.55
2021-04-25,6020,28.25
2021-04-26,6020,27.9
2021-04-27,6020,27.95
2021-04-28,6020,28.05
2021-04-29,6020,28.0
2021-05-02,6020,28.0
2021-05-03,6020,28.0
2021-05-04,6020,28.05
2021-05-05,6020,27.9
2021-05-06,6020,27.6
2021-01-03,6040,22.92
2021-01-04,6040,23.1
2021-01-05,6040,22.89
2021-01-06,6040,22.81
2021-01-07,6040,22.81
2021-01-10,6040,23.1
2021-01-11,6040,24.39
2021-01-12,6040,24.25
2021-01-13,6040,24.43
2021-01-14,6040,24.25
2021-01-17,6040,24.93
2021-01-18,6040,25.0
2021-01-19,6040,24.82
2021-01-20,6040,24.47
2021-01-21,6040,24.68
2021-01-24,6040,24.25
2021-01-25,6040,24.39
2021-01-26,6040,24.32
2021-01-27,6040,24.14
2021-01-28,6040,24.36
2021-01-31,6040,24.72
2021-02-01,6040,24.32
2021-02-02,6040,24.03
2021-02-03,6040,23.14
2021-02-04,6040,23.42
2021-02-07,6040,23.96
2021-02-08,6040,25.0
2021-02-09,6040,26.69
2021-02-10,6040,25.83
2021-02-11,6040,25.65
2021-02-14,6040,26.83
2021-02-15,6040,28.34
2021-02-16,6040,31.17
2021-02-17,6040,29.77
2021-02-18,6040,29.92
2021-02-21,6040,29.7
2021-02-22,6040,31.1
2021-02-23,6040,30.28
2021-02-24,6040,28.34
2021-02-25,6040,29.34
2021-02-28,6040,29.56
2021-03-01,6040,29.06
2021-03-02,6040,28.41
2021-03-03,6040,29.27
2021-03-04,6040,29.27
2021-03-07,6040,28.81
2021-03-08,6040,27.66
2021-03-09,6040,27.19
2021-03-10,6040,25.83
2021-03-11,6040,25.86
2021-03-14,6040,26.19
2021-03-15,6040,26.69
2021-03-16,6040,25.97
2021-03-17,6040,25.76
2021-03-18,6040,25.86
2021-03-21,6040,26.76
2021-03-22,6040,26.29
2021-03-23,6040,26.12
2021-03-24,6040,26.04
2021-03-25,6040,26.04
2021-03-28,6040,26.55
2021-03-29,6040,26.55
2021-03-30,6040,26.76
2021-03-31,6040,26.73
2021-04-01,6040,26.62
2021-04-04,6040,26.4
2021-04-05,6040,26.37
2021-04-06,6040,27.55
2021-04-07,6040,30.3
2021-04-08,6040,31.45
2021-04-11,6040,29.9
2021-04-12,6040,28.1
2021-04-13,6040,28.15
2021-04-14,6040,28.05
2021-04-15,6040,28.1
2021-04-18,6040,28.0
2021-04-19,6040,28.5
2021-04-20,6040,28.25
2021-04-21,6040,28.05
2021-04-22,6040,27.8
2021-04-25,6040,27.6
2021-04-26,6040,27.55
2021-04-27,6040,27.4
2021-04-28,6040,27.35
2021-04-29,6040,27.2
2021-05-02,6040,26.7
2021-05-03,6040,26.15
2021-05-04,6040,26.9
2021-05-05,6040,26.55
2021-05-06,6040,25.15
2021-01-03,6050,53.6
2021-01-04,6050,54.0
2021-01-05,6050,53.9
2021-01-06,6050,53.8
2021-01-07,6050,53.8
2021-01-10,6050,54.3
2021-01-11,6050,54.9
2021-01-12,6050,54.6
2021-01-13,6050,55.8
2021-01-14,6050,55.2
2021-01-17,6050,54.9
2021-01-18,6050,54.7
2021-01-19,6050,55.9
2021-01-20,6050,54.8
2021-01-21,6050,54.7
2021-01-24,6050,53.9
2021-01-25,6050,54.0
2021-01-26,6050,53.9
2021-01-27,6050,53.6
2021-01-28,6050,53.8
2021-01-31,6050,53.4
2021-02-01,6050,52.8
2021-02-02,6050,52.0
2021-02-03,6050,50.4
2021-02-04,6050,50.2
2021-02-07,6050,53.0
2021-02-08,6050,55.2
2021-02-09,6050,55.5
2021-02-10,6050,54.5
2021-02-11,6050,54.5
2021-02-14,6050,58.3
2021-02-15,6050,56.9
2021-02-16,6050,58.0
2021-02-17,6050,56.8
2021-02-18,6050,56.4
2021-02-21,6050,56.5
2021-02-22,6050,56.8
2021-02-23,6050,57.0
2021-02-24,6050,55.1
2021-02-25,6050,56.0
2021-02-28,6050,55.7
2021-03-01,6050,55.5
2021-03-02,6050,55.7
2021-03-03,6050,56.0
2021-03-04,6050,55.3
2021-03-07,6050,55.4
2021-03-08,6050,54.9
2021-03-09,6050,54.1
2021-03-10,6050,54.1
2021-03-11,6050,53.6
2021-03-14,6050,53.8
2021-03-15,6050,53.5
2021-03-16,6050,52.7
2021-03-17,6050,52.2
2021-03-18,6050,52.3
2021-03-21,6050,53.4
2021-03-22,6050,53.7
2021-03-23,6050,53.4
2021-03-24,6050,52.8
2021-03-25,6050,54.1
2021-03-28,6050,54.2
2021-03-29,6050,54.5
2021-03-30,6050,54.2
2021-03-31,6050,54.1
2021-04-01,6050,54.7
2021-04-04,6050,57.7
2021-04-05,6050,57.6
2021-04-06,6050,56.8
2021-04-07,6050,57.3
2021-04-08,6050,56.5
2021-04-11,6050,56.5
2021-04-12,6050,55.9
2021-04-13,6050,55.0
2021-04-14,6050,55.1
2021-04-15,6050,56.0
2021-04-18,6050,56.1
2021-04-19,6050,56.3
2021-04-20,6050,55.8
